spiderid;Family;temperature;day0;sex;death;mass;Lifespan
MR4A15;MR4A;C;12/04/2016;F;23/09/2016;5.7;164
MR4A17;MR4A;C;12/04/2016;M;24/08/2016;5.5;134
MR4A19;MR4A;C;12/04/2016;F;26/10/2016;5.8;197
MR4A23;MR4A;C;12/04/2016;F;27/09/2016;4.7;168
MR4A27;MR4A;C;12/04/2016;F;22/07/2016;NA;101
MR4A29;MR4A;C;12/04/2016;M;05/09/2016;5.5;146
MR4A31;MR4A;C;12/04/2016;F;23/09/2016;5.3;164
MR4A33;MR4A;C;12/04/2016;M;03/11/2016;5;205
MR4A35;MR4A;C;12/04/2016;F;05/12/2016;4.7;237
MR4A37;MR4A;C;12/04/2016;F;31/10/2016;6.3;202
MR4A41;MR4A;C;12/04/2016;M;16/09/2016;NA;157
MR4A43;MR4A;C;12/04/2016;F;NA;NA;#VALORE!
MR4A44;MR4A;C;12/04/2016;M;02/08/2016;NA;112
MR4A45;MR4A;C;12/04/2016;M;05/12/2016;4.7;237
MR4A48;MR4A;C;12/04/2016;F;02/12/2016;4.3;234
MR4A49;MR4A;C;12/04/2016;M;26/09/2016;5.7;167
MR4A2;MR4A;H;12/04/2016;F;24/07/2016;NA;103
MR4A4;MR4A;H;12/04/2016;F;17/09/2016;2.8;158
MR4A6;MR4A;H;12/04/2016;F;17/08/2016;3.2;127
MR4A8;MR4A;H;12/04/2016;F;22/06/2016;NA;71
MR4A10;MR4A;H;12/04/2016;F;23/09/2016;3.2;164
MR4A12;MR4A;H;12/04/2016;F;20/06/2016;NA;69
MR4A14;MR4A;H;12/04/2016;F;23/09/2016;4.7;164
MR4A18;MR4A;H;12/04/2016;F;30/07/2016;2.5;109
MR4A22;MR4A;H;12/04/2016;F;07/07/2016;NA;86
MR4A24;MR4A;H;12/04/2016;F;22/07/2016;NA;101
MR4A26;MR4A;H;12/04/2016;F;25/08/2016;3.1;135
MR4A28;MR4A;H;12/04/2016;F;08/08/2016;4.7;118
MR4A30;MR4A;H;12/04/2016;F;08/06/2016;NA;57
MR4A32;MR4A;H;12/04/2016;M;26/09/2016;NA;167
MR4A34;MR4A;H;12/04/2016;F;28/07/2016;2.4;107
MR4A36;MR4A;H;12/04/2016;F;07/09/2016;3.2;148
MR4A38;MR4A;H;12/04/2016;F;09/08/2016;3.4;119
MR4A40;MR4A;H;12/04/2016;F;17/08/2016;3.5;127
MR4A42;MR4A;H;12/04/2016;F;26/07/2016;NA;105
MR4A46;MR4A;H;12/04/2016;F;03/10/2016;4.8;174
MR4A50;MR4A;H;12/04/2016;F;09/09/2016;4.1;150
MV3A1;MV3A;C;12/04/2016;M;14/07/2016;NA;93
MV3A3;MV3A;C;12/04/2016;F;08/06/2016;NA;57
MV3A5;MV3A;C;12/04/2016;M;27/11/2016;NA;229
MV3A7;MV3A;C;12/04/2016;F;NA;NA;#VALORE!
MV3A13;MV3A;C;12/04/2016;M;06/08/2016;NA;116
MV3A17;MV3A;C;12/04/2016;F;06/10/2016;5.2;177
MV3A19;MV3A;C;12/04/2016;M;30/08/2016;NA;140
MV3A21;MV3A;C;12/04/2016;F;22/06/2016;NA;71
MV3A23;MV3A;C;12/04/2016;F;04/07/2016;NA;83
MV3A25;MV3A;C;12/04/2016;F;28/12/2016;6.3;260
MV3A27;MV3A;C;12/04/2016;F;17/06/2016;NA;66
MV3A29;MV3A;C;12/04/2016;F;24/11/2016;5.2;226
MV3A31;MV3A;C;12/04/2016;M;06/09/2016;NA;147
MV3A39;MV3A;C;12/04/2016;F;25/06/2016;NA;74
MV3A41;MV3A;C;12/04/2016;F;22/06/2016;NA;71
MV3A2;MV3A;H;12/04/2016;M;25/07/2016;NA;104
MV3A4;MV3A;H;12/04/2016;F;07/09/2016;2.5;148
MV3A6;MV3A;H;12/04/2016;M;22/07/2016;NA;101
MV3A8;MV3A;H;12/04/2016;F;14/07/2016;NA;93
MV3A18;MV3A;H;12/04/2016;F;15/09/2016;2;156
MV3A22;MV3A;H;12/04/2016;F;17/07/2016;NA;96
MV3A28;MV3A;H;12/04/2016;F;25/08/2016;2.8;135
MV3A32;MV3A;H;12/04/2016;F;NA;NA;#VALORE!
MV3A34;MV3A;H;12/04/2016;F;23/07/2016;NA;102
MV3A36;MV3A;H;12/04/2016;F;23/07/2016;NA;102
MV3A40;MV3A;H;12/04/2016;F;01/08/2016;2;111
MV3A46;MV3A;H;12/04/2016;F;27/08/2016;2.1;137
MV3A47;MV3A;H;12/04/2016;M;21/08/2016;3.4;131
MV3A48;MV3A;H;12/04/2016;F;25/06/2016;NA;74
MV3A49;MV3A;H;12/04/2016;F;06/07/2016;NA;85
MV3A50;MV3A;H;12/04/2016;F;11/08/2016;1.4;121
Cort5A1;Cort5;C;17/04/2016;F;NA;5;#VALORE!
Cort5A3;Cort5;C;17/04/2016;M;29/11/2016;5;226
Cort5A5;Cort5;C;17/04/2016;F;NA;3.9;#VALORE!
Cort5A7;Cort5;C;17/04/2016;F;29/10/2016;7;195
Cort5A13;Cort5;C;17/04/2016;M;15/09/2016;NA;151
Cort5A15;Cort5;C;17/04/2016;F;NA;5.4;#VALORE!
Cort5A17;Cort5;C;17/04/2016;F;NA;5.5;#VALORE!
Cort5A19;Cort5;C;17/04/2016;M;12/09/2016;NA;148
Cort5A21;Cort5;C;17/04/2016;F;16/11/2016;5.9;213
Cort5A25;Cort5;C;17/04/2016;F;29/11/2016;5.8;226
Cort5A27;Cort5;C;17/04/2016;M;29/12/2016;4.4;256
Cort5A29;Cort5;C;17/04/2016;M;20/11/2016;5.4;217
Cort5A35;Cort5;C;17/04/2016;M;25/11/2016;4.5;222
Cort5A37;Cort5;C;17/04/2016;M;12/08/2016;NA;117
Cort5A39;Cort5;C;17/04/2016;M;29/09/2016;6.2;165
Cort5A41;Cort5;C;17/04/2016;M;19/01/2017;4.9;277
Cort5A45;Cort5;C;17/04/2016;F;21/01/2017;4.4;279
Cort5A47;Cort5;C;17/04/2016;F;06/07/2016;NA;80
Cort5A48;Cort5;C;17/04/2016;F;29/07/2016;NA;103
Cort5A49;Cort5;C;17/04/2016;F;02/01/2017;5.4;260
Cort5A2;Cort5;H;17/04/2016;F;12/06/2016;NA;56
Cort5A4;Cort5;H;17/04/2016;F;25/07/2016;NA;99
Cort5A6;Cort5;H;17/04/2016;F;15/09/2016;4.1;151
Cort5A8;Cort5;H;17/04/2016;F;NA;3.5;#VALORE!
