spp,site,ftyp,_TYPE_,_FREQ_,count,area,pres
BF,77,O,0,4,0.25,0.5637,1
BF,78,C,0,5,0.2,1.1517,1
BF,78,O,0,4,0,0.3025,0
BF,79,C,0,5,0,0.6499,0
BF,79,O,0,5,0.2,1.3908,1
BF,8,C,0,5,0,0.872,0
BF,8,O,0,5,0.2,0.9237,1
BF,80,C,0,4,0.25,0.9748,1
BF,80,O,0,4,0,1.4184,0
BF,9,C,0,3,0.6666666667,0.7905,1
BF,9,O,0,3,1.6666666667,0.4599,1
BF,99,C,0,3,0.6666666667,3.1787,1
BF,99,O,0,3,0.6666666667,1.0425,1
BF,101,C,0,4,0.25,0.9748,1
BF,101,O,0,4,0,1.4184,1
BF,102,C,0,4,0.25,0.9748,0
BF,102,O,0,4,0,1.4184,1
BF,103,C,0,4,0.25,0.9748,0
BF,103,O,0,4,0,1.4184,1
BT,1,C,0,3,2,1.0567,0
BT,1,O,0,3,9.6666666667,0.7722,1
BT,10,C,0,4,0.25,1.9052,1
BT,152,C,0,4,2,1.9023,1
BT,152,O,0,2,3.5,0.9748,1
BT,16,C,0,3,0,0.2016,0
BT,16,O,0,3,1.6666666667,0.6402,1
BT,17,C,0,5,3,0.4534,1
BT,17,O,0,5,0.8,0.7884,1
BT,18,C,0,5,0.6,1.041,1
BT,18,O,0,5,1.8,2.2818,1
BT,19,O,0,4,0.75,0.8086,1
BT,20,C,0,2,0,0.6252,0
BT,20,O,0,3,0.3333333333,11.377,1
BT,21,C,0,4,1.75,1.8954,1
BT,21,O,0,4,2.25,1.4541,1
BT,27,C,0,5,12,1.6112,1
BT,27,O,0,5,5.8,0.3798,1
BT,30,C,0,3,0.6666666667,1.5888,1
BT,30,O,0,3,5.3333333333,1.1422,1
BT,32,C,0,5,1,0.827,1
BT,32,O,0,4,1.5,1.0007,1
BT,36,C,0,4,3.5,0.8182,1
BT,36,O,0,4,0,0.7828,0
BT,37,O,0,5,8.8,1.2915,1
BT,38,C,0,4,3.75,1.253,1
BT,38,O,0,5,5.4,0.8475,1
BT,39,C,0,3,0.3333333333,1.1304,1
BT,39,O,0,3,4.3333333333,1.0848,1
BT,4,C,0,5,6.4,1.1555,1
BT,41,C,0,4,0,0.8226,0
BT,41,O,0,4,0.25,0.4468,1
BT,43,C,0,3,0.6666666667,2.0517,1
BT,45,C,0,4,0.5,1.1475,1
BT,45,O,0,5,8,1.0027,1
BT,46,C,0,5,1.8,0.1316,1
BT,46,O,0,5,0,0.1842,0
BT,47,C,0,4,0,0.3328,0
BT,47,O,0,4,1.5,0.3478,1
BT,49,O,0,4,0.75,1.0672,1
BT,5,O,0,5,9.8,0.6903,1
BT,50,C,0,4,4.75,0.4387,1
BT,50,O,0,5,8.4,1.1295,1
BT,51,O,0,5,0,0.8218,0
BT,52,C,0,4,5.25,1.0836,1
BT,52,O,0,4,2.5,0.8179,1
BT,53,C,0,5,4,1.315,1
BT,53,O,0,5,5.2,0.5553,1
